CODE2,CODE1,CODEBASE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
A6402-25,A6402-25-001,A6402-0226-00,94.03,2.5,22929.26,20.37,6.48,13.89,214.29,107Y12M
A6402-25,A6402-25-001,A6402-0239-00,108.81,2.29,34844.46,32.57,17.11,15.46,90.38,107Y12M
A6402-25,A6402-25-002,A6402-0240-00,169.44,3.59,32997.43,42.65,19.12,23.53,123.08,107Y12M
A6402-25,A6402-25-002,A6402-0246-00,92.06,2.69,38526.14,37.5,7.95,29.55,371.43,107Y12M
A6402-25,A6402-25-002,A6402-0251-00,131.25,2.64,19532.51,51.02,14.29,36.73,257.14,107Y12M
A6402-25,A6402-25-003,A6402-0249-00,102.5,2.49,31093.39,28.57,7.94,20.63,260,107Y12M
A6402-25,A6402-25-003,A6402-0252-00,106.36,2.67,31226.12,37.58,16.97,20.61,121.43,107Y12M
A6402-25,A6402-25-004,A6402-0258-00,86.67,2.95,31344.85,51.35,10.81,40.54,375,107Y12M
A6402-25,A6402-25-004,A6402-0265-00,111.29,2.91,30968.45,33.67,15.31,18.37,120,107Y12M
A6402-25,A6402-25-005,A6402-0253-00,195.24,2.7,18524.63,37.78,11.11,26.67,240,107Y12M
A6402-25,A6402-25-005,A6402-0259-00,92.86,2.18,31611.97,37.76,9.18,28.57,311.11,107Y12M
A6402-25,A6402-25-005,A6402-0271-00,65.63,3.31,6197.75,39.47,13.16,26.32,200,107Y12M
A6402-25,A6402-25-006,A6402-0256-00,123.53,2.38,15715.69,32.56,8.14,24.42,300,107Y12M
A6402-25,A6402-25-006,A6402-0264-00,107.69,2.7,3742.01,22.73,9.09,13.64,150,107Y12M
A6402-25,A6402-25-006,A6402-0274-00,130.3,2.81,20607.46,47.57,16.5,31.07,188.24,107Y12M
A6402-25,A6402-25-007,A6402-0272-00,108.77,3.05,37296.74,30.77,6.59,24.18,366.67,107Y12M
A6402-25,A6402-25-007,A6402-0276-00,100,3.75,9564.57,25,12.5,12.5,100,107Y12M
A6402-25,A6402-25-007,A6402-0280-00,93.33,2.64,34519.69,38.1,13.1,25,190.91,107Y12M
A6402-25,A6402-25-007,A6402-0287-00,96.92,3.12,40038.13,20.75,5.66,15.09,266.67,107Y12M
A6402-25,A6402-25-008,A6402-0282-00,93.89,2.54,22713.83,33.68,11.58,22.11,190.91,107Y12M
